Feature,Importance
B4_median,0.08942844
B3_mean,0.073701195
B8A_min,0.046964895
B8_median,0.041348077
B3_median,0.02920825
B12_slope_up,0.023819732
B4_mean,0.019846246
B11_std,0.019759469
B7_min,0.018204844
B3_min,0.017772645
B4_std,0.016728202
B8_min,0.016289882
B8_std,0.014387767
B12_median,0.014230739
B11_argmax,0.013601886
B5_std,0.013508454
B12_argmax,0.013350205
B5_min,0.012575509
B12_slope_down,0.011746515
B6_std,0.011415215
B12_mean,0.010737529
B6_argmax,0.010443107
B8_argmax,0.009914757
B12_std,0.009632744
B11_amplitude,0.0096210465
B12_max,0.009406482
B6_median,0.00933351
B8_mean,0.009185147
B8A_std,0.009124098
B4_argmax,0.008992611
B8_amplitude,0.008924533
B2_std,0.008431836
B7_median,0.008421656
B7_slope_up,0.008213014
B2_min,0.008022229
B5_median,0.007893872
B3_slope_up,0.007881301
B5_mean,0.007825666
B12_amplitude,0.0076416796
B3_max,0.0075536133
B5_max,0.0075430702
B8_max,0.007450407
B2_mean,0.00739952
B12_min,0.007345702
B2_median,0.007301505
B2_max,0.007207204
B4_amplitude,0.007143572
B7_std,0.0071320073
B11_mean,0.007025893
B4_slope_up,0.0069874246
B7_amplitude,0.006943555
B11_max,0.0069286935
B5_amplitude,0.0069259712
B7_argmax,0.0067555546
B8A_amplitude,0.006718519
B11_slope_down,0.0067018205
B2_slope_down,0.006543088
B5_slope_down,0.0064194473
B6_mean,0.0062833903
B11_slope_up,0.006280959
B8A_argmax,0.0062662587
B6_amplitude,0.006220538
B11_median,0.0061885123
B8_slope_up,0.006089165
B5_argmax,0.005908142
B8A_median,0.0059062396
B6_slope_up,0.005863879
B3_argmax,0.0058575533
B4_max,0.0058259186
B6_slope_down,0.0058153537
B4_slope_down,0.0058080372
B3_slope_down,0.0056703063
B2_slope_up,0.005659239
B8A_slope_up,0.0055741486
B7_max,0.0054967473
B5_slope_up,0.0054451264
B3_std,0.005393261
B4_min,0.0053918706
B2_amplitude,0.005389748
B3_amplitude,0.0053678066
B6_max,0.005364518
B8A_slope_down,0.005301542
B8A_max,0.0052958354
B8_slope_down,0.0052477033
B6_min,0.005090383
B8A_mean,0.00508041
B2_argmax,0.0050728247
B7_slope_down,0.004958511
B11_min,0.0048595634
B7_mean,0.00446492
