Feature,Importance
B4_median,0.06602033
B8_median,0.053962737
B4_mean,0.04792172
B3_mean,0.045385554
B11_std,0.025282132
B3_median,0.024437843
B7_min,0.023733275
B12_slope_down,0.01775977
B12_slope_up,0.01766468
B3_min,0.017085932
B12_mean,0.015459525
B6_std,0.015148842
B8A_min,0.014803446
B12_max,0.014654685
B8_min,0.014402638
B4_std,0.0136071835
B5_std,0.013463313
B4_argmax,0.011709065
B8_argmax,0.011501184
B12_argmax,0.011244658
B12_min,0.011174182
B12_median,0.01097432
B11_max,0.010853956
B8_slope_down,0.0103988135
B8A_std,0.010104713
B8_mean,0.009887869
B2_min,0.009663873
B5_min,0.009660467
B8_std,0.009655245
B5_median,0.009474731
B8_amplitude,0.009467999
B12_std,0.009431247
B6_argmax,0.00906267
B2_std,0.00892001
B11_amplitude,0.008814547
B12_amplitude,0.008510653
B7_median,0.008479049
B2_mean,0.008302475
B4_min,0.0081460085
B7_std,0.0081372075
B8_max,0.008115226
B11_argmax,0.008099444
B6_mean,0.008090063
B5_mean,0.008088718
B8A_median,0.008063847
B3_slope_up,0.008034369
B11_min,0.008024379
B6_slope_up,0.007956472
B8_slope_up,0.0078054224
B5_argmax,0.0077500865
B8A_slope_down,0.0077103204
B2_slope_up,0.0076713017
B8A_argmax,0.007661209
B3_max,0.0076148426
B4_amplitude,0.007416105
B6_slope_down,0.0074095046
B4_slope_up,0.0073695984
B11_mean,0.0072065177
B5_max,0.007081429
B3_std,0.006999035
B5_amplitude,0.006890098
B7_amplitude,0.0068856534
B7_argmax,0.0068406505
B11_slope_up,0.0068317554
B7_slope_down,0.0068184054
B11_median,0.006776399
B3_argmax,0.0067062927
B6_min,0.0066375844
B4_slope_down,0.006624467
B7_slope_up,0.0066065425
B2_max,0.00660476
B7_max,0.0063649504
B6_amplitude,0.0062961983
B5_slope_down,0.0062660226
B4_max,0.006177092
B2_argmax,0.0061070765
B7_mean,0.0059160255
B5_slope_up,0.005842494
B3_amplitude,0.005786026
B6_max,0.0057665543
B11_slope_down,0.0056317
B2_slope_down,0.0055767465
B2_median,0.005570128
B2_amplitude,0.0055270013
B8A_amplitude,0.0054259948
B6_median,0.005369366
B3_slope_down,0.00529245
B8A_max,0.0048213224
B8A_mean,0.004803201
B8A_slope_up,0.0047005983
