class,count,percentage
citrus,6276,0.10614619625883706
sugarcane,8113,0.13721543821668977
coffee,2721,0.046020363291952776
pasture,11284,0.19084666644115955
forest,18033,0.30499272739573113
soy,6763,0.11438284341913879
silviculture,3943,0.06668808984203227
flooded_field,1993,0.03370767513445861
false,52850,0.893853803741163
removed_small,6858,0.103934287099903
