Feature,Importance
B4_median,0.04158644088506633
B8_median,0.04084413219932502
B3_mean,0.03902681961542634
B4_mean,0.03899024793178176
B3_median,0.03719871919323209
B3_min,0.026839412386569124
B2_median,0.024251776915606753
B11_std,0.023495666841438903
B8_mean,0.021935443250739105
B2_mean,0.020385487718089755
B12_std,0.0187027390051125
B12_slope_down,0.017611587296516285
B12_median,0.01699734715963414
B4_std,0.016814608318694302
B12_mean,0.015555522185232113
B12_slope_up,0.015249408113450874
B12_max,0.015030687702659268
B8_min,0.014943971303531431
B4_max,0.01418116087341341
B4_min,0.01376464135542697
B5_std,0.013569561299355772
B11_amplitude,0.013132838283171326
B2_min,0.012549157804312443
B11_max,0.012178482388354643
B12_amplitude,0.012133561661273407
B12_min,0.01062067222743421
B4_amplitude,0.010263004444974909
B7_min,0.010245270858495763
B7_median,0.01007514795364086
B8A_median,0.00998373005849326
B6_std,0.009899085965468209
B11_median,0.0094442932716945
B8A_min,0.009223394548758378
B8_std,0.009180503332742968
B8A_std,0.009170008403526777
B11_slope_down,0.009141826021419894
B11_slope_up,0.008951932857716933
B11_mean,0.008869624037657023
B7_std,0.008778830237651908
B5_min,0.00872483943184478
B8_max,0.008688624346696198
B5_median,0.00868277119684694
B5_mean,0.008299846700026436
B11_min,0.008199342036069873
B8A_mean,0.008102194690336748
B6_median,0.008079164170677286
B4_slope_down,0.008054944486094898
B5_amplitude,0.008045094081229397
B6_min,0.007626018123236008
B4_slope_up,0.007592384181814298
B5_max,0.007447629265712599
B8_slope_down,0.007360916414091889
B6_mean,0.007297461162822242
B8_amplitude,0.0072613948495512835
B2_slope_up,0.00718245999036711
B7_mean,0.0071806940040507776
B7_amplitude,0.007144977500852619
B3_slope_up,0.007108854923283066
B7_slope_down,0.00705764728210406
B3_std,0.006993409396790338
B8A_slope_down,0.006766104324748562
B2_std,0.006736879219577432
B8_slope_up,0.006731210239712418
B5_slope_up,0.006716294120416782
B6_slope_up,0.0066861370657679674
B3_max,0.006669628364730349
B7_slope_up,0.006614671500658197
B8A_amplitude,0.00642839517867281
B6_slope_down,0.006409394673072261
B2_max,0.006335680273082347
B5_slope_down,0.006295039442991788
B2_slope_down,0.006196144769701755
B2_amplitude,0.006054025408809426
B12_argmax,0.006052598385368091
B8A_max,0.006031907972008534
B6_amplitude,0.005975360500323219
B8A_slope_up,0.005965651015223948
B3_slope_down,0.005893221911972931
B7_max,0.005767736083432927
B3_amplitude,0.005605365883137024
B11_argmax,0.005480963318993228
B6_max,0.005248090269154953
B4_argmax,0.004864114037754946
B5_argmax,0.004775933905237949
B2_argmax,0.00366792208894423
B8_argmax,0.003540120351005385
B3_argmax,0.003522674339995716
B6_argmax,0.003514559648822073
B8A_argmax,0.0032659240851598903
B7_argmax,0.003240837479934307
