epoca,train_loss,val_loss
1,1.1702880103728517,1.0341797854047539
2,0.8884501504165945,0.7943697271728926
3,0.7080112712317131,0.6518455699578757
4,0.5981061071214929,0.5716955930242869
5,0.5312612693452319,0.539910958646863
6,0.49575506688543675,0.5235870972463951
7,0.4737494582504569,0.4952788755029352
8,0.4573541368491712,0.485493280784445
9,0.4439677630266968,0.47920018804550685
10,0.43296691782174596,0.485113340050775
11,0.4435781146560078,0.47653747607674274
12,0.4303994675256293,0.47421961944290975
13,0.42461199101523184,0.47192695662399287
14,0.4226697258471099,0.4766507403115629
15,0.4209327692183379,0.4652259673395646
16,0.425316699595254,0.4833767016194771
17,0.42016564997291905,0.46265782979315756
18,0.4141065206695356,0.4563965870468439
19,0.3982673893518113,0.4507818384472961
20,0.4031677500658017,0.44311869801196063
21,0.39212661624803613,0.42694821565326135
22,0.39120810324299354,0.4354156921769111
23,0.37812855696045067,0.4557852258415704
24,0.3777741778588334,0.4670955093597027
25,0.3799589741762306,0.43961316297465003
26,0.3719053268543144,0.42996371801551136
27,0.36732644245013024,0.4603511528185829
28,0.36047365401145204,0.54820928090492
29,0.36334697576149905,0.4338885347101836
30,0.35014794762260815,0.4392217181761141
31,0.34785136088182905,0.43113029041587586
32,0.35203876605091877,0.5356321771501757
33,0.34506342009963276,0.4481148656995282
34,0.34120748969403664,0.407283929207414
35,0.33762942688690767,0.43899661381056926
36,0.33388035329844334,0.4216129018619028
37,0.33245776668400956,0.45174672558114787
38,0.33677805777809916,0.4595231963754565
39,0.33231543694418203,0.44455529630456486
40,0.3297341059389922,0.4368706124023031
41,0.3310927519934801,0.4376189778870519
42,0.33649777152067545,0.41728296298488626
43,0.32902505826285144,0.4428151641216242
44,0.33239925874789805,0.42150215210692915
45,0.3239074342771801,0.4489580869546535
46,0.35063537124568145,0.4547793677948201
47,0.34218564875807433,0.4679751911332485
48,0.35324467145853733,0.43717978869481483
49,0.34866158181668533,0.41371911147434653
50,0.3515320124761974,0.45524957807305616
51,0.3473433028199768,0.5077304204796246
52,0.3493048903134293,0.4312594202185664
53,0.3410310001264356,0.5160452012444209
54,0.3409329442719893,0.4474992052549574
