epoch,train_loss,val_loss
1,1.177755919451303,1.1028955692692042
2,0.9199867824679124,0.8089970595238322
3,0.7314530384237428,0.6561573310980799
4,0.6228105521782102,0.5567167506116723
5,0.5524456723903912,0.5263692801032432
6,0.5224707289183507,0.5009635714778579
7,0.5064039309781629,0.4908779894098615
8,0.49267670969409655,0.4656039559133817
9,0.4779006683515443,0.4785808562972848
10,0.46903602091565255,0.46196748620476097
11,0.46289318407171953,0.4551538446868446
12,0.4562303560421287,0.4542442921652506
13,0.4518188286248869,0.46056849638858954
14,0.4469608329549534,0.44839194107133534
15,0.44614217668062034,0.4442609915216785
16,0.4523157624285387,0.4521059015878336
17,0.43106303112933697,0.43653872987142905
18,0.4342384817634981,0.4573135302971418
19,0.4185413989793995,0.4768893589094792
20,0.41970406211052835,0.4182196593375458
21,0.4091025822935457,0.4058897030794822
22,0.39911929224012743,0.4245612719945435
23,0.38997736353963963,0.39854492208979736
24,0.3945354396960619,0.41656203377357176
25,0.38669408764160473,0.4709756375657
26,0.3778487286256947,0.4200554075420195
27,0.3780408777602462,0.36763372191541793
28,0.370936248811657,0.363570122093887
29,0.36680595219557394,0.3858445845159033
30,0.36154000619719917,0.3736798409768013
31,0.3617154607734597,0.36434862763095177
32,0.3582250878263499,0.36229470280537995
33,0.36044758049393166,0.36699212204196496
34,0.35062025347777526,0.3921178165472391
35,0.3470607299662614,0.3688724745484753
36,0.3460335167281996,0.37064186270689925
37,0.3423791851218073,0.37129577520624346
38,0.3381792656068246,0.37405144203825363
39,0.3478028354854998,0.36434950826767676
40,0.34051989364312585,0.36704576589779553
41,0.33671907483230085,0.36854022525546987
42,0.3308603509473778,0.3608899004818242
43,0.3336321817067104,0.3543149012875544
44,0.32889590338427477,0.3716711982816993
45,0.33604357286588393,0.36250923015075853
46,0.3576336724952449,0.41115012740595674
47,0.3632869399897843,0.3658628521338065
48,0.3579348790681905,0.38742100280721226
49,0.35773193957704763,0.4449847494705773
50,0.3521484596897334,0.3613626503009931
51,0.35027566080298445,0.4564868638258494
52,0.35430052928634465,0.37455377414230423
53,0.3484395661450472,0.363691865392009
54,0.3420364270373248,0.42312918021812607
55,0.34379365897194397,0.37308537763749766
56,0.3392379262668428,0.44190481370827006
57,0.3389803226611393,0.387471278822156
58,0.347027859044627,0.36555232311242547
59,0.3355841448152804,0.3899267468526432
60,0.33954656873629235,0.4092906458616646
61,0.3377854292987093,0.3661786391317163
62,0.33440256070002405,0.39648105083241303
63,0.3324108502117773,0.45214928174771624
