base_name,perc_artificial
img_00213_2019,9.27
img_00156_p01_2019,8.52
img_00174_p01_2019,7.45
img_00218_2019,6.01
img_00133_p03_2019,8.01
img_00205_p01_2019,8.37
img_00156_p05_2019,8.93
img_00184_p02_2019,10.55
img_00223_2019,8.30
img_00156_p02_2019,8.17
img_00224_2019,4.67
img_00226_2019,5.79
img_00227_2019,0.10
img_00156_p04_2019,8.35
img_00225_2019,11.21
img_00157_p03_2019,7.50
img_00234_2019,0.00
img_00229_2019,0.08
img_00235_2019,0.07
img_00233_2019,0.00
img_00236_2019,1.94
img_00222_2019,5.86
img_00156_p03_2019,8.27
img_00220_2019,8.24
img_00238_2019,0.26
img_00156_p06_2019,10.12
img_00215_2019,7.25
img_00221_p01_2019,5.58
img_00228_2019,4.40
img_00221_p02_2019,6.61
img_00231_2019,0.01
img_00191_p01_2019,7.88
img_00191_p04_2019,7.97
img_00157_p04_2019,6.74
img_00230_2019,5.01
img_00216_p02_2019,7.23
img_00157_p01_2019,7.72
img_00237_2019,0.04
img_00191_p03_2019,8.29
img_00245_2019,0.64
img_00243_2019,0.00
img_00244_2019,2.04
img_00216_p01_2019,4.81
img_00219_p02_2019,1.67
img_00212_p01_2019,8.34
img_00247_2019,0.00
img_00157_p02_2019,8.31
img_00248_2019,0.00
img_00250_2019,2.67
img_00249_2019,0.00
img_00212_p04_2019,7.74
img_00252_2019,0.38
img_00253_2019,8.33
img_00251_2019,0.14
img_00219_p01_2019,2.34
img_00254_2019,0.00
img_00260_2019,2.76
img_00212_p02_2019,7.60
img_00191_p02_2019,7.46
img_00195_p01_2019,8.29
img_00195_p03_2019,8.37
img_00242_2019,1.36
img_00097_p06_2019,8.05
img_00097_p05_2019,12.39
img_00195_p04_2019,8.33
img_00212_p03_2019,8.13
img_00240_p01_2019,4.16
img_00097_p04_2019,9.02
img_00240_p02_2019,4.14
img_00264_2019,0.00
img_00097_p03_2019,8.73
img_00256_2019,0.00
img_00097_p07_2019,8.46
img_00257_2019,0.00
img_00262_2019,4.20
img_00265_2019,2.26
img_00266_2019,0.19
img_00255_2019,0.62
img_00261_2019,4.15
img_00239_p02_2019,3.60
img_00258_2019,0.00
img_00097_p01_2019,8.32
img_00267_2019,8.15
img_00268_2019,1.23
img_00272_2019,3.82
img_00275_2019,0.00
img_00270_2019,0.00
img_00271_2019,8.33
img_00239_p01_2019,0.79
img_00269_2019,0.00
img_00246_p01_2019,3.32
img_00277_2019,8.08
img_00259_2019,0.00
img_00273_2019,1.14
img_00246_p02_2019,0.68
img_00263_p02_2019,8.25
img_00274_2019,0.37
img_00097_p10_2019,9.55
img_00097_p02_2019,9.01
img_00263_p01_2019,6.39
img_00280_2019,0.00
img_00279_2019,4.17
img_00283_2019,0.00
img_00284_2019,0.00
img_00285_2019,0.00
img_00097_p09_2019,8.32
img_00232_p04_2019,5.46
img_00286_2019,0.00
img_00232_p01_2019,2.65
img_00289_2019,0.00
img_00290_2019,0.00
img_00287_2019,0.00
img_00291_2019,1.34
img_00292_2019,0.00
img_00232_p02_2019,4.20
img_00295_2019,0.00
img_00281_2019,1.25
img_00232_p03_2019,7.04
img_00241_p02_2019,4.17
img_00294_2019,0.00
img_00276_p01_2019,0.00
img_00299_2019,7.86
img_00097_p08_2019,8.33
img_00301_2019,4.08
img_00278_p01_2019,2.81
img_00276_p02_2019,0.13
img_00288_2019,0.06
img_00306_2019,6.35
img_00300_2019,4.13
img_00293_2019,0.00
img_00282_2019,0.17
img_00297_2019,1.11
img_00278_p02_2019,2.42
img_00309_2019,4.10
img_00316_2019,3.74
img_00310_2019,4.17
img_00319_2019,4.12
img_00302_2019,4.12
img_00304_2019,4.05
img_00317_2019,4.13
img_00312_2019,4.01
img_00320_2019,8.43
img_00318_2019,4.17
img_00305_2019,9.46
img_00313_2019,3.46
img_00307_p02_2019,5.03
img_00308_p01_2019,0.00
img_00323_2019,0.01
img_00331_2019,0.00
img_00241_p01_2019,4.16
img_00314_2019,7.60
img_00327_2019,0.55
img_00325_2019,0.97
img_00338_2019,8.35
img_00336_2019,4.07
img_00315_2019,8.27
img_00296_p01_2019,0.00
img_00296_p04_2019,0.00
img_00307_p01_2019,4.19
img_00308_p02_2019,0.00
img_00321_2019,6.56
img_00330_2019,0.00
img_00339_2019,8.33
img_00298_p02_2019,0.01
img_00332_2019,8.10
img_00296_p02_2019,0.00
img_00337_2019,5.20
img_00333_2019,0.00
img_00345_2019,8.04
img_00343_2019,1.34
img_00296_p03_2019,0.00
img_00344_2019,4.11
img_00298_p01_2019,0.00
img_00349_2019,2.38
img_00322_p01_2019,0.00
img_00346_2019,0.00
img_00322_p02_2019,0.00
img_00353_2019,1.37
img_00324_2019,5.86
img_00329_p02_2019,4.80
img_00335_2019,0.00
img_00352_2019,3.10
img_00311_p01_2019,3.07
img_00328_2019,8.29
img_00303_p04_2019,0.12
img_00303_p01_2019,0.00
img_00329_p01_2019,7.82
img_00359_2019,0.08
img_00303_p03_2019,0.01
img_00303_p02_2019,0.11
img_00362_2019,1.18
img_00311_p04_2019,3.92
img_00340_2019,6.33
img_00348_2019,4.08
img_00358_2019,0.00
img_00341_p01_2019,4.15
img_00354_2019,2.56
img_00341_p02_2019,4.18
img_00364_2019,2.36
img_00363_2019,3.96
img_00311_p02_2019,4.61
img_00366_2019,4.06
img_00355_2019,0.00
img_00369_2019,2.17
img_00365_2019,0.00
img_00371_2019,0.00
img_00361_2019,0.00
img_00368_2019,0.00
img_00372_2019,4.28
img_00373_2019,1.92
img_00357_2019,4.06
img_00367_2019,0.17
img_00376_2019,4.03
img_00356_2019,0.00
img_00347_2019,8.33
img_00360_2019,0.70
img_00375_2019,4.35
img_00334_p01_2019,9.15
