epoch,train_loss,val_loss
1,1.2614749060436234,1.2989004741347216
2,1.2422571322426545,1.2904197688215437
3,1.2411931021585345,1.2880090343988935
4,1.2401247423576074,1.2881461397839475
5,1.2409868428665929,1.2876445788886295
6,1.2409935310295581,1.2908271698152909
7,1.24053963138109,1.289546766849608
8,1.2388455610993807,1.2826975305915982
9,1.238725102383303,1.2862235209679678
10,1.2396798052307154,1.284511009688735
11,1.2390709262234634,1.2848297453122663
12,1.2396950400284468,1.283791475158801
13,1.2395681417597386,1.285990902355739
14,1.2375054456638073,1.284400914947886
15,1.2379281683662477,1.2850516271248138
16,1.2392860700262303,1.290780648420673
17,1.2404389775644138,1.289545054670963
18,1.2406682361750192,1.2881844795987638
19,1.239370843196585,1.2859546770662345
20,1.2390247717470262,1.2856599599704959
21,1.2405692319236157,1.2920248311200588
22,1.2407926910514417,1.2857631225625143
23,1.2399039104562528,1.2871205555571803
24,1.2399010603501823,1.2900422027397744
25,1.2398299202281253,1.28698390801911
26,1.2392640565141624,1.286171966074427
27,1.239396833713301,1.2873802491351731
28,1.2399928979465809,1.28887017143226
