epoch,train_loss,val_loss
1,1.18612986206414,1.0576602331217906
2,0.8790753390595729,0.8359254968379518
3,0.6889448940475047,0.6622417828239797
4,0.5690949822053721,0.564939638853401
5,0.4993099541768181,0.5251261095479233
6,0.4550824771929054,0.5113759927113414
7,0.43864465298632166,0.47996863464541745
8,0.4215785074866768,0.5008422328156651
9,0.4141333438384622,0.496720037155335
10,0.40495976746480067,0.4889984136598474
11,0.4001033319803417,0.4808212372754922
12,0.39307968837951346,0.4873769841627045
13,0.39732815893211915,0.487723566888943
14,0.3957679098329268,0.48595017264436985
15,0.3895185956232952,0.492444620089813
16,0.3898918870777918,0.4838167372399216
17,0.3828151072768736,0.5032509277168625
18,0.3827133423310807,0.4896064596622157
19,0.36643911671024015,0.4856185487162788
20,0.3601163206056939,0.49263425484976053
21,0.35233574690990327,0.46932347489846293
22,0.34680442985690446,0.4699701474982082
23,0.336574583526741,0.5243045514682628
24,0.33436918263696147,0.46078544830521656
25,0.3300302164351784,0.437335035659916
26,0.31690929388765854,0.4641233994183547
27,0.32206576505056267,0.48722132433723386
28,0.31574183714584564,0.4367847536092283
29,0.30715527190993497,0.499672552004477
30,0.30637357006265387,0.4679942442593581
31,0.301389455119781,0.4317745134295919
32,0.296937410404156,0.4553613072412378
33,0.29659517948805963,0.44295374202597093
34,0.2900352225060787,0.4469405797193598
35,0.289911270551935,0.4632007398500403
36,0.2845236007591383,0.4646085965174264
37,0.28446713588858086,0.46067362089104635
38,0.28302711740797937,0.4613173684358925
39,0.2817946441612736,0.46467338754517507
40,0.28129027293642267,0.4597784921916348
41,0.27986780255450017,0.4614612375689668
42,0.2786009834954012,0.4420432889477915
43,0.27748068106156637,0.4756618146227347
44,0.28050713400090227,0.47385004880175796
45,0.2763245574712223,0.4728544298687532
46,0.2996153669725983,0.48997388679682796
47,0.29383771872903575,0.45042351900793337
48,0.30037985749864465,0.5272577562391184
49,0.2868093223447237,0.5011702916153196
50,0.28821889210434937,0.5013273211588066
51,0.28930663025579434,0.45141118650095335
