Year,2023,2023,2023,2024,2024,2024
Seed,42,43,44,42,43,44
Café,338/409 (82.6%),364/409 (89.0%),370/409 (90.5%),463/506 (91.5%),461/506 (91.1%),414/506 (81.8%)
Campo Alagado,155/155 (100.0%),155/155 (100.0%),155/155 (100.0%),390/392 (99.5%),390/392 (99.5%),390/392 (99.5%)
Cana-de-açúcar,636/647 (98.3%),643/647 (99.4%),639/647 (98.8%),1505/1548 (97.2%),1523/1548 (98.4%),1489/1548 (96.2%)
Citrus,434/645 (67.3%),385/645 (59.7%),411/645 (63.7%),779/1183 (65.8%),721/1183 (60.9%),874/1183 (73.9%)
Formação Florestal,1859/1873 (99.3%),1860/1873 (99.3%),1865/1873 (99.6%),3766/3786 (99.5%),3759/3786 (99.3%),3754/3786 (99.2%)
Pastagem,1251/1284 (97.4%),1266/1284 (98.6%),1265/1284 (98.5%),2433/2475 (98.3%),2441/2475 (98.6%),2403/2475 (97.1%)
Silvicultura,468/470 (99.6%),467/470 (99.4%),466/470 (99.1%),706/717 (98.5%),706/717 (98.5%),695/717 (96.9%)
Soja,689/752 (91.6%),712/752 (94.7%),713/752 (94.8%),1175/1278 (91.9%),1208/1278 (94.5%),1137/1278 (89.0%)
Recall 0,0.97,0.98,0.98,0.98,0.98,0.96
Recall 1,0.67,0.6,0.64,0.66,0.61,0.74
Precision 0,0.96,0.95,0.96,0.96,0.96,0.97
Precision 1,0.69,0.76,0.78,0.75,0.77,0.68
F1 0,0.96,0.97,0.97,0.97,0.97,0.97
F1 1,0.68,0.67,0.7,0.7,0.68,0.71
Infer Time / 1k (s),0.5017,0.4946,0.487,0.527,0.5576,0.5518
Peak VRAM (MB),349.61,349.61,349.61,349.61,349.61,349.61
Energy (kWh),0.003975,0.003825,0.004974,0.005602,0.003337,0.002663
Emissions (kgCO2eq),0.000391,0.000376,0.000489,0.000551,0.000328,0.000262
TN (True Neg),5396,5467,5473,10438,10488,10282
FP (False Pos),194,123,117,264,214,420
FN (False Neg),211,260,234,404,462,309
TP (True Pos),434,385,411,779,721,874
