epoch,train_loss,val_loss
1,1.1793495994017331,1.1347756667664666
2,0.8779263733856797,0.8635773644530075
3,0.6590423025187998,0.7106352923835263
4,0.5516843686518557,0.6373908865822456
5,0.5007543477333789,0.6122404186086041
6,0.4751317679433417,0.5987125427845329
7,0.45321935273880815,0.5754096687314136
8,0.43903587315460124,0.5755199644975876
9,0.4313294410961604,0.5620085709524258
10,0.4261977598258028,0.5647486582107503
11,0.41742667156571645,0.5695568618788206
12,0.41864411817805663,0.5550085539328216
13,0.41308151929494336,0.556851522222603
14,0.40847181089974116,0.5606061620981212
15,0.41227356083608985,0.563704527165695
16,0.4140346577156091,0.55891623166447
17,0.40579073464726345,0.5508892257534242
18,0.39301102516506686,0.6216371614520996
19,0.3854499115768444,0.569568276707021
20,0.3759368757184065,0.5663445616492481
21,0.3683926608592741,0.5525638617128026
22,0.3639389162375194,0.5101808428721245
23,0.35656293181763815,0.5229920032915651
24,0.354145839238252,0.5580223274140451
25,0.3396145228395931,0.5144770702674435
26,0.3373125772290218,0.5759969829478646
27,0.3323414671183593,0.6276910948477529
28,0.33357323656075444,0.5229067064159088
29,0.3267652646974856,0.5004472472554777
30,0.3187143953002597,0.5317577553760807
31,0.32477929586150805,0.5080562779115579
32,0.31734956685040994,0.5308870179491119
33,0.3152997520457907,0.5328307118393422
34,0.3115362506157308,0.5209085104996453
35,0.3151004499766633,0.5201743156127282
36,0.3095546884245993,0.5231281799827894
37,0.3023838574130626,0.5584855310979824
38,0.30317706441340914,0.55441380381067
39,0.3031818479138672,0.5598528768304286
40,0.29627906365747336,0.5660415694214517
41,0.29934560447888237,0.5574462935921082
42,0.29668867084124984,0.5326925895607135
43,0.2939561718336613,0.5521809598801365
44,0.2988514099308341,0.5365117218881436
45,0.2956950643040296,0.5480883897794646
46,0.3180901893987172,0.48650101949922087
47,0.31803256093816756,0.4850258166084924
48,0.31392059624784213,0.5278498765918886
49,0.31599604828787475,0.5387463437976479
50,0.3073372069505796,0.5716284360475327
51,0.31579961843031273,0.5319378725101529
52,0.3060829349545882,0.5927752182587971
53,0.3122491712788797,0.567086335678335
54,0.3048528192306683,0.5505847226470084
55,0.3073747315570301,0.5721959315903016
56,0.30582896093855266,0.5062995149187652
57,0.3012987969940691,0.5550631208537888
58,0.297887598271652,0.6355791623964744
59,0.30750388944773477,0.6206512193876337
60,0.2990990188591636,0.6636802271838129
61,0.2901988149228535,0.6159788477446666
62,0.2914857801152193,0.6545301142888749
63,0.30163641247238704,0.5474067355249553
64,0.2988818867196785,0.5793190286242264
65,0.2934510281405358,0.5071119720941856
66,0.29042065230819253,0.5550724065183128
67,0.2963864878471438,0.6307121315406702
