Feature,Importance
EVI_median,0.047512352303454124
NDVI_mean,0.02951466123613363
B3_mean,0.02667024623537106
B3_median,0.026216382029581826
EVI_mean,0.025801630550968613
NDVI_median,0.02470063194412367
B3_min,0.02177383410034512
B4_mean,0.02156517919248034
NDMI_std,0.021399982455923467
B8_median,0.0213543404146068
EVI_min,0.01932245835302229
B4_median,0.01863120466691644
NDVI_std,0.018614732594568917
NDVI_min,0.016276604919625907
NDMI_slope_up,0.013758597937640551
B2_mean,0.01372589143162865
B2_median,0.01283103886170457
B11_std,0.012638019382951669
NDMI_min,0.011843142423496232
NDTI_median,0.011411992857337162
B12_slope_down,0.009999478208572998
NDVI_max,0.009970589373790088
NDTI_min,0.009893127446394019
NDTI_mean,0.009796793408569765
B8_mean,0.00941630375595795
B12_std,0.009199725978959261
NDTI_std,0.009192393664434691
NDMI_slope_down,0.009009575648394413
EVI_slope_up,0.008654014550109893
B2_min,0.00863411421645694
NDMI_amplitude,0.008359486717322496
B5_std,0.008320318707093747
B12_slope_up,0.0078726682739316
EVI_std,0.007740769646083815
NDRE_min,0.007582240225763642
B11_amplitude,0.0074650226826931945
B12_mean,0.0073157843041064706
B4_std,0.006943661846856342
B12_max,0.006939943906036786
NDMI_median,0.006782158767610995
B4_max,0.006752899139018819
B12_median,0.0067129818764427845
B4_min,0.006686599137928246
B6_std,0.006640060428264917
EVI_slope_down,0.0064745371185487436
NDVI_slope_up,0.006416666588446968
B8_min,0.006398232338404519
NDVI_amplitude,0.006341973060913089
B11_max,0.0062988593538248734
NDRE_amplitude,0.006144956143684736
B12_amplitude,0.006085744742087456
NDRE_std,0.006079054726016801
NDVI_slope_down,0.005942515217616451
NDTI_max,0.005875217178779646
B11_slope_down,0.005812475955831302
EVI_max,0.0058063763640348685
B8A_std,0.005670319570347147
B7_std,0.005390856977422609
B11_slope_up,0.005301134227926376
NDRE_mean,0.005247831116823894
NDTI_amplitude,0.005195943065966951
NDRE_max,0.005166241434670247
B5_min,0.00516255920709569
B8A_median,0.005160160285280392
B7_median,0.0050993691414428464
NDRE_median,0.005077986091139453
B6_median,0.005073701049508768
B6_slope_up,0.005029508732996087
B8_std,0.004997021377120162
B12_min,0.00496516461179395
NDMI_mean,0.004947259423555052
B2_slope_up,0.004939633384972572
NDRE_slope_down,0.0049176173995043905
EVI_amplitude,0.0048801924932087145
B11_min,0.004843141763861362
B11_mean,0.004773976337692492
B4_amplitude,0.004705222588185227
B5_mean,0.004703391693918607
B8A_min,0.004664528800860815
NDMI_max,0.0045639626657995435
B8_max,0.0045609050810857645
NDRE_slope_up,0.0045554796829349285
B5_median,0.004405000084318825
B7_min,0.004400081332399144
B4_slope_up,0.004392384809282616
B8_slope_up,0.004389654680321659
B7_slope_up,0.004313371164609574
B6_min,0.0042901489107182176
B2_slope_down,0.004242628510565714
B11_median,0.004237578050899317
B4_slope_down,0.004220002728666226
B3_slope_up,0.004195445379615034
B8A_max,0.004134203253678718
B5_slope_up,0.0041052915478512605
B6_mean,0.004092684149711776
B8A_slope_up,0.004082610292277147
B2_std,0.00406587136550821
B7_mean,0.004044252859782208
B5_amplitude,0.004036488798602244
B3_slope_down,0.00398136902003102
B7_max,0.003978796962618594
B8_amplitude,0.003975369148087863
B8A_mean,0.003972447110500998
B3_max,0.003939769500654295
B8_slope_down,0.003928361682482568
B5_slope_down,0.003880758934343037
B3_std,0.003877982662623859
B8A_amplitude,0.0037951787387907974
B6_amplitude,0.003790164373775292
B2_max,0.003746301401841872
B7_slope_down,0.0037163803646553294
B6_slope_down,0.0036830965101861757
NDTI_slope_down,0.0036447467575851803
B5_max,0.003632077725836735
B7_amplitude,0.0036066868342005355
B2_amplitude,0.0035545487746574825
NDTI_slope_up,0.0035402847565452968
B8A_slope_down,0.003479726965422201
B3_amplitude,0.0032934342278865716
B6_max,0.003145080045360134
NDRE_argmax,0.003012424838998378
B12_argmax,0.0029749269523723786
B4_argmax,0.0028438362803262676
B11_argmax,0.0027694827698511856
NDTI_argmax,0.002668552200457442
B5_argmax,0.0026134888238472645
NDMI_argmax,0.0025585189795115106
NDVI_argmax,0.0024041139309818487
B2_argmax,0.0021617024417729153
EVI_argmax,0.00210403778965929
B3_argmax,0.0020058277134597864
B8_argmax,0.001969411166855956
B6_argmax,0.0019358729995069734
B8A_argmax,0.0017325448232732169
B7_argmax,0.0017216450762536834
