epoch,train_loss,val_loss
1,1.177751609982777,1.1029158220644157
2,0.9199780635351181,0.8090786196709199
3,0.7314166582313515,0.6561086360176556
4,0.6227541976717246,0.5565861132590098
5,0.5523925675147915,0.5264106423198106
6,0.5224665845201129,0.5007241036201471
7,0.5064038082017368,0.4914769456642246
8,0.4926730807569492,0.4655249029414188
9,0.47791634787245724,0.47908110891468314
10,0.46908563250809143,0.4616481262215078
11,0.46297436001536757,0.4554691568755169
12,0.45625379567858765,0.45472171691752805
13,0.45188635881855277,0.4609248635070637
14,0.44699320225865585,0.448549873619931
15,0.44619516895083566,0.4439880312397614
16,0.452399407319575,0.4515264430121358
17,0.4311163271343503,0.43701430444621364
18,0.43412257462113346,0.4597138891287582
19,0.4187902737568397,0.47872216841352977
20,0.4196183877888327,0.4189787358451162
21,0.4086209577596267,0.40949512022827783
22,0.39859875355038743,0.41668628632340926
23,0.3894568800278831,0.3997845073951997
24,0.3943800032816821,0.41765407281007594
25,0.38651164910493496,0.4725765849529042
26,0.3774245877736241,0.4174186434022875
27,0.37767142717153207,0.3691684698922256
28,0.37038838277179176,0.36343758414962335
29,0.36668847304822955,0.38785272843985696
30,0.3611742604003234,0.3748180118182073
31,0.3611885029053691,0.365359876505629
32,0.3577992240560167,0.3634466132312348
33,0.3595238223191301,0.3665122834962545
34,0.35004592492924397,0.39551517025049965
35,0.3463181512371464,0.36913194378790287
36,0.3455386488953936,0.37074720790578286
37,0.3418659594799713,0.37324767693203953
38,0.3375279597843196,0.37512460534314324
39,0.34776844771171767,0.3669464449212158
40,0.3402254365405629,0.36753338576174327
41,0.33636407231171755,0.3708398661002817
42,0.3302335806476109,0.36422800410196193
43,0.33315354523206286,0.3554406912027005
44,0.328518774047255,0.37574685305340755
45,0.33564725538019746,0.3641288985392291
46,0.35747660437500883,0.41420840941243803
47,0.3626855144945848,0.36525132301454644
48,0.3568695591583526,0.38989478502185304
49,0.3570198047666538,0.44884500901985896
50,0.3516017570990499,0.3655372555481719
51,0.35024976248313006,0.4574075343171474
52,0.35377161443152566,0.3768073432573366
53,0.34721683124483205,0.36782546983053327
54,0.3414480496173744,0.4276000303325279
55,0.3432495216938289,0.37757553728819543
56,0.3387354364225599,0.44439896121093875
57,0.33874242501412294,0.3894097872999095
58,0.34624597012386477,0.3673808928751465
59,0.33472919499542114,0.3929854311012482
60,0.3391750347801065,0.4084919670482141
61,0.33717002782656136,0.3676497600911815
62,0.33395861996924797,0.39928841566546297
63,0.33200027118519865,0.4499455118429161
