Feature,Importance
EVI_median,0.071498014
B3_mean,0.07076149
EVI_min,0.047465876
NDMI_std,0.0419848
B12_mean,0.027850319
B3_min,0.022519665
NDVI_median,0.021454418
B12_slope_up,0.017839193
B3_median,0.013700593
B11_std,0.013311367
B4_median,0.0132041965
B5_min,0.013060664
B12_median,0.012568878
B7_min,0.010009755
NDRE_slope_down,0.008852275
B12_slope_down,0.008786536
EVI_slope_down,0.008689189
B12_max,0.008675903
NDMI_slope_down,0.008524227
B6_argmax,0.008499617
EVI_max,0.008358708
NDMI_slope_up,0.008329294
NDRE_median,0.008208652
B6_std,0.008125833
NDTI_median,0.008011171
NDRE_mean,0.007892788
B4_mean,0.0077235275
NDTI_mean,0.0077093593
NDVI_std,0.0075826356
B11_argmax,0.007549688
B6_median,0.007406468
B8A_min,0.007241202
B12_argmax,0.0071250913
NDTI_min,0.0070639434
NDVI_slope_down,0.0070148837
B8_median,0.0070011504
B11_amplitude,0.0067134164
NDMI_min,0.006606451
B7_slope_up,0.0064491155
NDMI_mean,0.0064124474
B7_argmax,0.0062965243
NDTI_amplitude,0.0062965103
B12_min,0.0062062163
B4_argmax,0.0061322083
EVI_std,0.006083414
NDTI_max,0.006044632
B8_argmax,0.006040301
B8_min,0.0058699846
B6_mean,0.0058686966
B5_std,0.0058226935
NDMI_median,0.005745328
EVI_slope_up,0.005693153
NDVI_max,0.0055980403
NDVI_mean,0.0055029364
NDRE_max,0.005338856
B5_max,0.0052902666
NDRE_amplitude,0.005206233
NDTI_std,0.0051924805
B12_amplitude,0.005056654
B11_max,0.004928394
B3_slope_down,0.00489698
B2_mean,0.004886829
B8_amplitude,0.0048239115
B8A_median,0.0048157633
B2_median,0.004741323
B11_mean,0.00471038
B2_std,0.004677029
NDRE_min,0.004656571
B8A_slope_up,0.0046163895
B5_slope_up,0.004603586
B2_slope_down,0.0046007717
NDVI_min,0.004571751
NDVI_amplitude,0.0045671104
B8_mean,0.0045169126
B4_slope_down,0.00444938
B11_median,0.0044385144
NDRE_argmax,0.00441479
B11_slope_up,0.004403675
B7_max,0.0043794634
B2_slope_up,0.0043573435
B8_slope_up,0.0042933077
B8_max,0.00426693
B5_mean,0.004253465
NDMI_max,0.0042530466
B2_max,0.004248134
NDRE_slope_up,0.0042219674
B4_std,0.0041221483
B2_min,0.0041207466
B8_std,0.004113326
EVI_mean,0.0041083065
NDRE_std,0.0040498353
B4_max,0.0040081753
B4_min,0.0039345915
B5_slope_down,0.0038869178
B7_std,0.0038456891
EVI_amplitude,0.003841757
B4_amplitude,0.0038317847
NDVI_slope_up,0.0038046285
NDMI_argmax,0.0038018103
B3_std,0.0037889332
B6_slope_up,0.0037464723
NDTI_argmax,0.003718617
B7_slope_down,0.003694582
B4_slope_up,0.0036647099
B12_std,0.0036294882
B8A_argmax,0.0036077953
B8A_amplitude,0.0036070985
B6_amplitude,0.0036059204
B3_slope_up,0.0035943692
EVI_argmax,0.003589416
NDTI_slope_up,0.003572876
B6_slope_down,0.003531413
B6_min,0.0034793133
B3_argmax,0.0034617467
NDMI_amplitude,0.003406399
B8A_std,0.003373885
B11_min,0.0033183699
NDTI_slope_down,0.003290895
B3_max,0.0032835167
B7_amplitude,0.0032780583
B2_amplitude,0.0032772732
B5_amplitude,0.0031819332
B8_slope_down,0.003170338
B2_argmax,0.0031415136
NDVI_argmax,0.0031303423
B11_slope_down,0.0031200792
B3_amplitude,0.0030170062
B8A_mean,0.0029820823
B8A_max,0.0029184648
B7_mean,0.002828424
B5_median,0.0028282553
B8A_slope_down,0.00281128
B5_argmax,0.002810615
B6_max,0.0028103972
B7_median,0.002596847
